cas number,iso-SMILES,canonical-SMILES
2361635-32-5,CC1=CC(=CC=C1)C(=O)C2=NC=C(C=C2)C.Cl,CC1=CC(=CC=C1)C(=O)C2=NC=C(C=C2)C.Cl
894854-73-0,C1=CC=C2C(=C1)C=CN=C2C(=O)CBr,C1=CC=C2C(=C1)C=CN=C2C(=O)CBr
1339491-86-9,CC1=C(N=C(S1)C(=O)C)C2=CC=C(C=C2)Cl,CC1=C(N=C(S1)C(=O)C)C2=CC=C(C=C2)Cl
92963-55-8,COC1=C(C=C(C=C1)C=CC(=O)C2=CC=CC=N2)OC,COC1=C(C=C(C=C1)C=CC(=O)C2=CC=CC=N2)OC
954220-94-1,CCOC(=O)CC(=O)C1=NC=C(C=C1)Br,CCOC(=O)CC(=O)C1=NC=C(C=C1)Br
1797776-22-7,C1CC2=C(C1)SC(=C2C(=O)C3=NC=C(C=C3)Cl)N,C1CC2=C(C1)SC(=C2C(=O)C3=NC=C(C=C3)Cl)N
103788-62-1,CC1=C(N=C(O1)C2=CC=CC=C2)C(=O)CBr,CC1=C(N=C(O1)C2=CC=CC=C2)C(=O)CBr
1797079-01-6,C1=CC2=C(N=C(N2C=C1)C(F)(F)F)C(=O)C(F)(F)F,C1=CC2=C(N=C(N2C=C1)C(F)(F)F)C(=O)C(F)(F)F
1824314-86-4,C1=C(N=C(S1)Br)C(=O)CBr,C1=C(N=C(S1)Br)C(=O)CBr
613678-10-7,CN1CCC(CC1)C(=O)C2=NC(=CC=C2)N.Cl.Cl,CN1CCC(CC1)C(=O)C2=NC(=CC=C2)N.Cl.Cl
1357615-72-5,C1=CC=C2C(=C1)NC(=N2)C(=O)/C=C/C3=CC(=CC=C3)[N+](=O)[O-],C1=CC=C2C(=C1)NC(=N2)C(=O)C=CC3=CC(=CC=C3)[N+](=O)[O-]
90808-12-1,CCC1=C(N2C=C(N=C2N=C1OC)C(=O)C3=CC=CC=C3)C,CCC1=C(N2C=C(N=C2N=C1OC)C(=O)C3=CC=CC=C3)C
1360540-82-4,C1COC2=C(O1)C=CC(=C2)C(=O)CCC(=O)C3=CC=CC=N3,C1COC2=C(O1)C=CC(=C2)C(=O)CCC(=O)C3=CC=CC=N3
96604-21-6,C1=CC=NC(=C1)C(=O)C2=C3N=CC=C(N3N=C2)C4=CC=NC=C4,C1=CC=NC(=C1)C(=O)C2=C3N=CC=C(N3N=C2)C4=CC=NC=C4
244295-64-5,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C(=O)C4=CNC5=CC=CC=C54,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C(=O)C4=CNC5=CC=CC=C54
393541-04-3,C1=CC=C(C=C1)COC2=CC=CC=C2CCC(=O)C3=CC=CC=N3,C1=CC=C(C=C1)COC2=CC=CC=C2CCC(=O)C3=CC=CC=N3
681135-77-3,C1=CC=C(C=C1)CCCCCCC(=O)C2=NC=C(O2)C3=CC=CC=N3,C1=CC=C(C=C1)CCCCCCC(=O)C2=NC=C(O2)C3=CC=CC=N3
1461714-66-8,CN1CCC2=C(C1)SC(=N2)C(=O)C3=NC4=C(S3)CN(CC4)C,CN1CCC2=C(C1)SC(=N2)C(=O)C3=NC4=C(S3)CN(CC4)C
374620-70-9,C1=CC(=C(C=C1C(=O)C2=NC(=CC3=CC(=C(C=C32)O)O)C(=O)O)O)O,C1=CC(=C(C=C1C(=O)C2=NC(=CC3=CC(=C(C=C32)O)O)C(=O)O)O)O
41526-21-0,C1=CC=NC(=C1)C(=O)C2=C(C=CC(=C2)Br)NC(=O)CCl,C1=CC=NC(=C1)C(=O)C2=C(C=CC(=C2)Br)NC(=O)CCl
338959-79-8,C1CCN(C1)C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)Cl,C1CCN(C1)C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)Cl
870694-29-4,C1=CC(=NC=C1Br)C(=O)CBr.Br,C1=CC(=NC=C1Br)C(=O)CBr.Br
613677-70-6,CCOC1=CC=CC=C1C(=O)NC2=CC=CC(=N2)C(=O)C3CCN(CC3)C,CCOC1=CC=CC=C1C(=O)NC2=CC=CC(=N2)C(=O)C3CCN(CC3)C
