cas number,iso-SMILES,canonical-SMILES
1247562-27-1,CCC1=NC=CN1CCCC(C)(C(=O)O)N,CCC1=NC=CN1CCCC(C)(C(=O)O)N
1512487-27-2,CC1=NC=CN1C2CCC(C2)(C(=O)O)N,CC1=NC=CN1C2CCC(C2)(C(=O)O)N
109138-28-5,CC(C)(C1=CC(=CC=C1)OC)N,CC(C)(C1=CC(=CC=C1)OC)N
1314643-70-3,C1CC1(C2=CC=CC=C2O)N,C1CC1(C2=CC=CC=C2O)N
1155530-59-8,CC1=CN=C(S1)C(C)(C)N,CC1=CN=C(S1)C(C)(C)N
6992-38-7,C(C(CO)(CO)N)O.C(C(CO)(CO)N)O.OS(=O)(=O)O,C(C(CO)(CO)N)O.C(C(CO)(CO)N)O.OS(=O)(=O)O
1333955-84-2,C1COCCC1(C2=CC=C(C=C2)OCC3=CC=CC=C3)N.Cl,C1COCCC1(C2=CC=C(C=C2)OCC3=CC=CC=C3)N.Cl
52372-32-4,CC(CCCN)(C(=O)O)N.Cl,CC(CCCN)(C(=O)O)N.Cl
864441-10-1,CC(C)(C1CCNCC1)N.Cl.Cl,CC(C)(C1CCNCC1)N.Cl.Cl
1342507-71-4,C1CS(=O)(=O)CCC1(C(F)(F)F)N,C1CS(=O)(=O)CCC1(C(F)(F)F)N
40571-47-9,CC1(CCC1)N,CC1(CCC1)N
1493205-46-1,CCC1CCCC(CC1)(C(=O)OC)N,CCC1CCCC(CC1)(C(=O)OC)N
331281-15-3,C1CN(CCC1(C#N)N)C(=O)OCC2=CC=CC=C2,C1CN(CCC1(C#N)N)C(=O)OCC2=CC=CC=C2
1707369-76-3,CC(C)(C)OC(=O)N1CCC(CC1)(C2=CC=CC=C2F)N,CC(C)(C)OC(=O)N1CCC(CC1)(C2=CC=CC=C2F)N
100450-08-6,CC(CO)(C=C)N,CC(CO)(C=C)N
2157359-09-4,C1CS(=O)(=O)CCC1(C2=CC(=CC=C2)Cl)N,C1CS(=O)(=O)CCC1(C2=CC(=CC=C2)Cl)N
1260793-49-4,C1CC1(CC2=CC=CC=C2Br)N,C1CC1(CC2=CC=CC=C2Br)N
1493035-05-4,C1CS(=O)(=O)CC1C2(CC2)N,C1CS(=O)(=O)CC1C2(CC2)N
1501020-85-4,COC(=O)C1(CCC(C1)N2C=NC=N2)N,COC(=O)C1(CCC(C1)N2C=NC=N2)N
1342246-30-3,CC1=NN(C=C1Cl)C(C)CC(C)(C(=O)N)N,CC1=NN(C=C1Cl)C(C)CC(C)(C(=O)N)N
